fs,fft_x_mag,fft_y_mag,fft_z_mag,psd_x,psd_y,psd_z
204.375,0.004896881877764636,0.012486693929507024,0.013962491284469294,9.591780849911882e-05,0.0006236701011567502,0.000779804651475524
204.5,0.01295800120543565,0.0179540755755794,0.021231812269141052,0.000671639180960287,0.001289395319094467,0.0018031594089281942
204.625,0.009549331962813365,0.002173006932265469,0.007842049900609358,0.0003647589637440358,1.888783651069514e-05,0.00024599098657458897
204.75,0.019728495247867697,0.014198418153208379,0.020549897051951888,0.0015568540989805532,0.0008063803122134289,0.0016891930753832837
204.875,0.012321256736189034,0.011058144181739536,0.019419660792716485,0.0006072534702363347,0.0004891302109765597,0.0015084929012166794
205.0,0.00466416993119546,0.010286430211081651,0.016724819458479832,8.701792458827146e-05,0.00042324258594981324,0.0011188783436749826
205.125,0.008936504409650681,0.006959271513689306,0.019681026601608288,0.0003194444442548243,0.00019372584000498978,0.0015493712323728524
205.25,0.002870934093023235,0.007964939283914748,0.0018826866131518877,3.296905026593258e-05,0.00025376103118579356,1.4178035533365303e-05
205.375,0.013275897715772585,0.0027700506170223595,0.017156001207583635,0.000704997840638623,3.069272168346382e-05,0.0011773135097384445
205.5,0.0008927301952946944,0.006759798344887763,0.013978615525457126,3.1878688063636127e-06,0.00018277949465418937,0.000781606768034204
205.625,0.01790677904438438,0.0173711839063025,0.006214904521635359,0.0012826109429776142,0.001207032121226332,0.00015450015285217454
205.75,0.010239179163799156,0.008951985478645027,0.00992666375557473,0.00041936315979351513,0.00032055217603948577,0.000394154613264964
205.875,0.001746809186815538,0.011037327796310356,0.013745942030817105,1.2205369340572646e-05,0.00048729041953282084,0.000755803689258337
206.0,0.008864987981351954,0.0033377684897374677,0.002512005915012626,0.0003143520476380584,4.456279396433734e-05,2.5240694868233678e-05
206.125,0.012507515922562952,0.009159902232715525,0.004393438787101941,0.000625751818212663,0.00033561523565162743,7.720921750404711e-05
206.25,0.007802030216083082,0.0075506527736598555,0.006912975802741394,0.00024348670197069368,0.00022804942923350909,0.0001911569377971521
206.375,0.0069951366084985735,0.0027956721312028514,0.010822558907665937,0.0001957277446862277,3.1263130660737176e-05,0.00046851112523959724
206.5,0.01114215881184686,0.010246951794617409,0.006142296378779527,0.0004965908119536665,0.00042000008432485175,0.00015091121921907236
206.625,0.007920689214110932,0.009986771476873177,0.010709537558459131,0.000250949270506133,0.0003989424181251506,0.00045877677886418705
206.75,0.004550446711331499,0.010774460311088202,0.02158706375486405,8.28262610906706e-05,0.0004643559799808595,0.0018640052862262608
206.875,0.008236635199593376,0.007881284513251808,0.005524066122090671,0.0002713686376447224,0.00024845858231529116,0.00012206122608491946
207.0,0.0010131852998351493,0.006096287569597463,0.014370524951469245,4.106177807208165e-06,0.00014865888852491415,0.0008260479495232005
207.125,0.01679285377033499,0.007894443322846292,0.015124957573162122,0.0011279997510074164,0.00024928894151052966,0.0009150573663598169
207.25,0.007832981678132896,0.006715448879550601,0.005744162264880238,0.00024542240787986256,0.0001803890146154297,0.00013198160050109626
207.375,0.0009892364190494023,0.0102396086902555,0.015714040359287234,3.914354771094739e-06,0.00041939834451822376,0.0009877242576532322
207.5,0.009516443455458224,0.0040283313592610285,0.0046898988263572566,0.0003622507841637347,6.490981416002322e-05,8.798060400586868e-05
207.625,0.00871437836822738,0.0041685098430507056,0.009818320224205498,0.0003037615613785171,6.950589724644247e-05,0.0003855976481001708
207.75,0.012031415522627053,0.007447837403539026,0.006035649328102001,0.0005790198379124448,0.00022188112795821973,0.00014571625124727255
207.875,0.005925157312466212,0.008301387320834934,0.004906485778376462,0.0001404299567098873,0.000275652125802076,9.629441077364189e-05
208.0,0.004314896905418146,0.001322252945998816,0.0022387632716801146,7.447334121754837e-05,6.993411412810192e-06,2.00482439464954e-05
208.125,0.013068865154823958,0.009711973139412739,0.007095733392578837,0.0006831809457398874,0.0003772896890426981,0.0002013977295142335
208.25,0.018175110484166805,0.002816187325077994,0.009193035127734223,0.0013213385644466804,3.172364419971979e-05,0.0003380475794390215
208.375,0.004020852798003063,0.003389672740034595,0.013197405714395077,6.466902889283624e-05,4.595952513813456e-05,0.0006966860703613913
208.5,0.00731219002061767,0.00635112451778121,0.00977959479376277,0.00021387249159048258,0.00016134713056144642,0.0003825618973207675
208.625,0.00566924895936312,0.001729699088103697,0.004339706472941153,0.00012856153505295929,1.1967435741547044e-05,7.533220908514937e-05
208.75,0.0045611531026191685,0.0036585932048954456,0.004174074157788964,8.321647050212986e-05,5.354121695562851e-05,6.96915802988866e-05
208.875,0.0035346919081861113,0.013539314474302991,0.01877014874144516,4.9976187543185494e-05,0.000733252145736282,0.0014092739351039012
209.0,0.011173672003972,0.0027087391190908903,0.006784838532645348,0.0004994037842093906,2.934907046117317e-05,0.0001841361356562763
209.125,0.004453336621286466,0.009193559715353867,0.010465877775977735,7.932882824996464e-05,0.0003380861609591099,0.0004381383904868187
209.25,0.0002906932712729512,0.004516884847521016,0.0022626426576803013,3.3801031185347845e-07,8.16089949030598e-05,2.047820718541831e-05
209.375,0.0009507774643008514,0.006248305050998229,0.00544333581860495,3.6159111464894275e-06,0.00015616526404131992,0.00011851961933643048
209.5,0.007818421980178186,0.01031315948259693,0.015882381619780044,0.00024451088904053355,0.0004254450340539159,0.001009000183665308
209.625,0.0017006328961067087,0.011944662012181811,0.02032852120101142,1.1568608989281165e-05,0.000570699802341037,0.0016529950968798834
